run,bioproject,latitude,longitude,bases
SRR23602730,PRJNA937707,38.8997,-77.0486,28992922
SRR23602731,PRJNA937707,38.8997,-77.0486,35144760
SRR23602732,PRJNA937707,38.8997,-77.0486,1627808
SRR23602733,PRJNA937707,38.8997,-77.0486,29093456
SRR23602734,PRJNA937707,38.8997,-77.0486,24046288
SRR23602735,PRJNA937707,38.8997,-77.0486,33881764
SRR23602736,PRJNA937707,38.8997,-77.0486,27312740
SRR23602737,PRJNA937707,38.8997,-77.0486,28390320
SRR23602738,PRJNA937707,38.8997,-77.0486,26869066
SRR23602739,PRJNA937707,38.8997,-77.0486,26949132
SRR23602740,PRJNA937707,38.8997,-77.0486,34276676
SRR23602741,PRJNA937707,38.8997,-77.0486,24831296
SRR23602742,PRJNA937707,38.8997,-77.0486,25075708
SRR23602743,PRJNA937707,38.8997,-77.0486,1355102
SRR23602744,PRJNA937707,38.8997,-77.0486,20097168
SRR23602745,PRJNA937707,38.8997,-77.0486,24305148
SRR23602746,PRJNA937707,38.8997,-77.0486,22211392
SRR23602747,PRJNA937707,38.8997,-77.0486,27304914
SRR23602748,PRJNA937707,38.8997,-77.0486,712768
SRR23602749,PRJNA937707,38.8997,-77.0486,29305360
SRR23602750,PRJNA937707,38.8997,-77.0486,22535870
SRR23602751,PRJNA937707,38.8997,-77.0486,30087960
SRR23602752,PRJNA937707,38.8997,-77.0486,27318158
SRR23602753,PRJNA937707,38.8997,-77.0486,25831218
SRR23602754,PRJNA937707,38.8997,-77.0486,21352338
SRR23602755,PRJNA937707,38.8997,-77.0486,22706236
SRR23602756,PRJNA937707,38.8997,-77.0486,18845610
SRR23602757,PRJNA937707,38.8997,-77.0486,28568512
SRR23602758,PRJNA937707,38.8997,-77.0486,21434210
SRR23602759,PRJNA937707,38.8997,-77.0486,28269318
SRR23602760,PRJNA937707,38.8997,-77.0486,24641666
SRR23602761,PRJNA937707,38.8997,-77.0486,21089264
SRR23602762,PRJNA937707,38.8997,-77.0486,10592190
SRR23602763,PRJNA937707,38.8997,-77.0486,20303052
SRR11011261,PRJNA589182,46.8,120.46,67512613
SRR11011262,PRJNA589182,46.92,120.5,49301075
SRR11011263,PRJNA589182,46.8,120.46,61493867
SRR11011264,PRJNA589182,46.92,120.5,73455015
SRR11011265,PRJNA589182,46.8,120.46,77679153
SRR11011266,PRJNA589182,46.85,120.48,74359308
SRR11011267,PRJNA589182,48.48,120.13,64330783
SRR11011268,PRJNA589182,48.48,120.13,62938204
SRR11011269,PRJNA589182,48.48,120.13,77148029
SRR11011270,PRJNA589182,47.78,121.5,81045404
SRR11011271,PRJNA589182,46.85,120.48,68723895
SRR11011272,PRJNA589182,47.78,121.5,73856922
SRR11011273,PRJNA589182,47.78,121.5,66775557
SRR11011274,PRJNA589182,47.78,121.5,65968475
SRR11011275,PRJNA589182,47.78,121.5,72090407
SRR11011276,PRJNA589182,47.78,121.5,64048352
SRR11011277,PRJNA589182,47.52,121.77,62229836
SRR11011278,PRJNA589182,47.52,121.77,63912696
SRR11011279,PRJNA589182,47.52,121.77,64120631
SRR11011280,PRJNA589182,48.51,121.59,71935128
SRR11011281,PRJNA589182,48.51,121.59,67272555
SRR11011282,PRJNA589182,46.92,120.5,75819710
SRR11011283,PRJNA589182,48.51,121.59,70178436
SRR11011284,PRJNA589182,46.71,120.86,67526259
SRR11011285,PRJNA589182,46.71,120.87,66197965
SRR11011286,PRJNA589182,46.71,120.87,63060907
SRR11011287,PRJNA589182,46.67,121.03,73242353
SRR11011288,PRJNA589182,46.67,121.03,66125610
SRR11011289,PRJNA589182,47.25,120.88,74140626
SRR11011290,PRJNA589182,47.25,120.88,66757848
SRR11011291,PRJNA589182,47.25,120.88,62138911
SRR11011292,PRJNA589182,47.25,120.88,78793216
SRR11011293,PRJNA589182,46.92,120.5,73275154
SRR11011294,PRJNA589182,46.92,120.5,60943690
